work_id,author_id,author_position,institutions,from_openalex
10.1109/tvcg.2024.3456361,A5001649622,3,"[""I4210150121""]",True
10.1109/tvcg.2024.3456360,A5109526081,1,"[""I94234084""]",True
10.1109/tvcg.2024.3456360,A5010950688,2,"[""I94234084""]",True
10.1109/tvcg.2024.3456360,A5035530630,3,"[""I94234084""]",True
10.1109/tvcg.2024.3456359,A5100594357,1,"[""I223532165""]",True
10.1109/tvcg.2024.3456359,A5032598257,2,"[""I8692664""]",True
10.1109/tvcg.2024.3456359,A5016840348,3,"[""I2613432""]",True
10.1109/tvcg.2024.3456359,A5056903170,4,"[""I114027177""]",True
10.1109/tvcg.2024.3456359,A5036159118,5,"[""I223532165""]",True
10.1109/tvcg.2024.3456358,A5042875512,1,"[""I56590836""]",True
10.1109/tvcg.2024.3456358,A5078170988,2,"[""I56590836""]",True
10.1109/tvcg.2024.3456358,A5035648097,3,"[""I56590836""]",True
10.1109/tvcg.2024.3456358,A5108131775,4,"[""I193775966""]",True
10.1109/tvcg.2024.3456358,A5008486397,5,"[""I56590836""]",True
10.1109/tvcg.2024.3456358,A5085695563,6,"[""I56590836""]",True
10.1109/tvcg.2024.3456357,A5004184559,1,"[""I52357470""]",True
10.1109/tvcg.2024.3456357,A5003306393,2,"[""I52357470""]",True
10.1109/tvcg.2024.3456357,A5054749881,3,"[""I52357470""]",True
10.1109/tvcg.2024.3456357,A5108096533,4,"[""I52357470""]",True
10.1109/tvcg.2024.3456357,A5065630217,5,"[""I52357470""]",True
10.1109/tvcg.2024.3456355,A5106832991,1,"[""I138006243""]",True
10.1109/tvcg.2024.3456355,A5074734666,2,"[""I4389425457"", ""I3017942884"", ""I39804081""]",True
10.1109/tvcg.2024.3456355,A5070956346,3,"[""I138006243""]",True
10.1109/tvcg.2024.3456354,A5042350842,1,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5082431329,2,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5007386215,3,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5072682773,4,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5081809692,5,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5019880413,6,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5044714148,7,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5084721447,8,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5015483503,9,"[""I1291425158""]",True
10.1109/tvcg.2024.3456354,A5103159534,10,"[""I1291425158""]",True
10.1109/tvcg.2024.3456353,A5102990231,1,"[""I2801919071"", ""I39422238""]",True
10.1109/tvcg.2024.3456353,A5057515797,2,"[""I95457486"", ""I63966007""]",True
10.1109/tvcg.2024.3456353,A5014675864,3,"[""I157725225""]",True
10.1109/tvcg.2024.3456353,A5107104372,4,"[""I161127581""]",True
10.1109/tvcg.2024.3456353,A5023238630,5,"[""I93860229""]",True
10.1109/tvcg.2024.3456353,A5050455034,6,"[""I161127581""]",True
