institution_id,MacroCategory,n_papers,doi_list
I114027177,Surgical Planning & Tomography,1,"[""10.1109/tvcg.2024.3456359""]"
I114027177,Time Series & Temporal Patterns,2,"[""10.1109/tvcg.2022.3209442"", ""10.1109/tvcg.2023.3327201""]"
I114073160,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2017.2745085""]"
I114395901,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2014.2346423""]"
I114457229,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.1999.809885""]"
I114832834,Diffusion MRI & Tractography,1,"[""10.1109/visual.1991.175800""]"
I114832834,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2024.3456143""]"
I114832834,Twitter & Social Media,3,"[""10.1109/tvcg.2018.2864432"", ""10.1109/tvcg.2021.3114872"", ""10.1109/tvcg.2024.3456395""]"
I115752224,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2010.136""]"
I115752224,Flow Fields & CFD Visualization,1,"[""10.1109/tvcg.2006.115""]"
I11662577,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/infvis.2005.1532130""]"
I116953780,Dimensionality Reduction & Multivariate Plots,12,"[""10.1109/tvcg.2012.291"", ""10.1109/tvcg.2017.2744159"", ""10.1109/tvcg.2017.2745320"", ""10.1109/tvcg.2018.2864885"", ""10.1109/tvcg.2020.3030465"", ""10.1109/tvcg.2021.3114779"", ""10.1109/tvcg.2021.3114804"", ""10.1109/tvcg.2022.3209461"", ""10.1109/tvcg.2023.3326925"", ""10.1109/tvcg.2023.3327385"", ""10.1109/tvcg.2023.3327387"", ""10.1109/tvcg.2024.3456346""]"
I116953780,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2022.3209486"", ""10.1109/tvcg.2023.3327200""]"
I116953780,Surgical Planning & Tomography,5,"[""10.1109/tvcg.2020.3030403"", ""10.1109/tvcg.2021.3114774"", ""10.1109/tvcg.2021.3114775"", ""10.1109/tvcg.2022.3209409"", ""10.1109/tvcg.2022.3209428""]"
I116953780,Ultrasound Volume Rendering & Segmentation,2,"[""10.1109/tvcg.2017.2744419"", ""10.1109/tvcg.2018.2864825""]"
I1174212,Dimensionality Reduction & Multivariate Plots,3,"[""10.1109/tvcg.2016.2598472"", ""10.1109/visual.1996.568122"", ""10.1109/visual.1997.663892""]"
I1174212,Flow Fields & CFD Visualization,1,"[""10.1109/vast.2010.5652890""]"
I1174212,Meshes & Volume Rendering,1,"[""10.1109/visual.1998.745290""]"
I1174212,Time Series & Temporal Patterns,1,"[""10.1109/visual.1990.146402""]"
I118019719,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2024.3456329""]"
I118118575,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2019.2934540""]"
I118347636,Diffusion MRI & Tractography,1,"[""10.1109/visual.1993.398879""]"
I118347636,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast47406.2019.8986934""]"
I118353179,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2016.2598839""]"
I118353179,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2017.2745078""]"
I118501908,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2022.3209462""]"
I118564535,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.2005.1532786""]"
I118692353,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2010.168""]"
I119003972,Ultrasound Volume Rendering & Segmentation,1,"[""10.1109/tvcg.2006.185""]"
I11957088,VIS Literature & Bibliometrics,1,"[""10.1109/tvcg.2011.246""]"
I119888943,Time Series & Temporal Patterns,1,"[""10.1109/tvcg.2015.2467153""]"
I120250893,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2017.8585505""]"
I12097938,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2007.70597""]"
I121748325,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/visual.2002.1183800""]"
I121797337,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2022.3209427""]"
I121820613,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2022.3209375"", ""10.1109/visual.2005.1532793""]"
