institution_a,institution_b,weight
I116953780,I24943067,2
I4210095624,I76130692,2
I157773358,I4210106122,2
I12356871,I180825142,2
I201448701,I40347166,2
I12356871,I168635309,2
I185261750,I45129253,2
I1294671590,I55732556,2
I1294671590,I153267046,2
I180825142,I4210110975,2
I51783024,I76198965,2
I4210146756,I76198965,2
I4210146756,I51783024,2
I145847075,I4210164942,2
I189712700,I31512782,2
I189712700,I39470171,2
I142606810,I859038795,2
I185261750,I2800129641,2
I2800129641,I2801317318,2
I2801851002,I56590836,2
I2800129641,I4210141030,2
I2800129641,I45129253,2
I2801317318,I45129253,2
I4210141030,I45129253,2
I180726961,I91203450,2
I202697423,I4092182,2
I145847075,I25485817,2
I185261750,I277688954,2
I114027177,I66867065,2
I116953780,I66867065,2
I129774422,I154099455,2
I1289243028,I33213144,2
I145872427,I83019370,2
I102149020,I184597095,2
I2801238018,I83019370,2
I1338124936,I223532165,2
I223532165,I57206974,2
I200769079,I30809798,2
I157773358,I30809798,2
I102322142,I4210096112,2
I1306409833,I63966007,2
I130701444,I201448701,2
I156087764,I223532165,2
I200769079,I205237279,2
I200769079,I4210145761,2
I4210145761,I889458895,2
I205237279,I889458895,2
I223822909,I2802164966,2
I21449261,I4210102302,2
I277688954,I66946132,2
I39470171,I4210161785,2
I4210120115,I84218800,2
I139660479,I79510175,2
I130701444,I889458895,2
I130701444,I200769079,2
I20231570,I40120149,2
I201448701,I58610484,2
I58610484,I74973139,2
I277688954,I4210165912,2
I121934306,I66946132,2
I30809798,I889458895,2
I114027177,I188538660,2
I121934306,I78577930,2
I277688954,I4210164937,2
I130238516,I1343871089,2
I1306409833,I66946132,2
I100296615,I177725633,2
I100296615,I154099455,2
I1290206253,I154099455,2
I130769515,I139660479,2
I130769515,I76130692,2
I102197404,I1290206253,2
I102197404,I4210164937,2
I1290206253,I277688954,2
I69356397,I889458895,2
I200769079,I69356397,2
I4210164937,I66946132,2
I121883995,I223532165,2
I2801851002,I98677209,2
I56590836,I98677209,2
I162868743,I2800287464,2
I-1,I4210164937,2
I100296615,I2801239119,2
I157725225,I95457486,2
I277688954,I39804081,2
I145847075,I98358874,2
I12912129,I156087764,2
I1343190059,I98358874,2
I1326498283,I4210150358,2
I153267046,I39804081,2
I102197404,I4210150358,2
I102197404,I39804081,2
I102475099,I57206974,2
I15196421,I4210102264,2
I138006243,I3017942884,2
I15196421,I57206974,2
I136199984,I83019370,2
I4210102264,I57206974,2
I136199984,I56590836,2
I84884186,I98677209,2
I139264467,I848706,2
I76130692,I84884186,2
I1282105669,I55769427,2
I189712700,I887968799,2
I116953780,I1343180700,2
I889458895,I98677209,2
I100066346,I129774422,2
I1294671590,I138006243,2
I114027177,I223532165,2
I200769079,I98677209,2
I107077323,I111979921,2
I168635309,I39470171,2
I38877650,I4092182,2
I2802076133,I4210138551,2
I205783295,I889458895,2
I2802076133,I98358874,2
I4210138551,I4387153937,2
I102475099,I4210102264,2
I102475099,I15196421,2
I130701444,I197347611,2
I136199984,I145847075,2
I12912129,I135310074,2
I185261750,I4210103820,2
I114027177,I8692664,2
I2801317318,I4210103820,2
I4210138378,I81365321,2
I136199984,I98677209,2
I-1,I168635309,2
I102197404,I4210161634,2
I1326498283,I200769079,2
I1326498283,I889458895,2
I83019370,I98358874,2
I4210138551,I98358874,2
I138006243,I4389425457,2
I107639228,I1282105669,2
I69356397,I99065089,2
I107639228,I52357470,2
I39804081,I4389425457,2
I1286353243,I200769079,2
I1286353243,I889458895,2
I3017942884,I4389425457,2
I219193219,I66946132,2
I200769079,I4210091137,2
I4210091137,I889458895,2
I3017942884,I39804081,2
I4387153937,I98358874,2
I102197404,I124055696,2
I204337017,I83019370,2
I100066346,I71920554,2
I180825142,I45129253,2
I1294671590,I4210142254,2
I157485424,I60922564,2
I-1,I138006243,2
I63966007,I76130692,2
I102134673,I1338124936,2
I102134673,I57206974,2
I4665924,I78650965,2
I1294671590,I15057530,2
I87445476,I889458895,2
I1343871089,I86519309,2
I223532165,I4210151938,2
I1294671590,I4210160189,2
I161548249,I204337017,2
I200769079,I87445476,2
I176453806,I4092182,2
I200769079,I26274970,2
I26274970,I889458895,2
I20231570,I223532165,2
I143288331,I4092182,2
I165932596,I76130692,2
I1343871089,I52357470,2
I130701444,I87182695,2
I123431417,I21449261,2
I168635309,I45129253,2
I161127581,I63966007,2
I1306409833,I136199984,2
I219193219,I4210114115,2
I136199984,I205783295,2
I100066346,I1283220839,2
I4210123185,I889458895,2
I139264467,I141371507,2
I141371507,I83436808,2
I219193219,I52357470,2
I200769079,I205783295,2
I118353179,I130701444,2
I200769079,I57206974,2
I57206974,I889458895,2
I1292875679,I56590836,2
I7882870,I98677209,2
I25112270,I63966007,2
I1290206253,I4210161634,2
I130828816,I223532165,2
I107077323,I131221577,2
I170239107,I56590836,2
I143302722,I52357470,2
I143302722,I223532165,2
I12912129,I55732556,2
I1294671590,I4210115485,2
I39422238,I63966007,2
I200769079,I4210123185,2
I277688954,I4210115485,2
I1329219376,I66946132,2
I185261750,I4210135397,2
I4210119109,I889458895,2
I173911158,I74775410,2
I1343190059,I4210138551,2
I102149020,I107077323,2
I169521973,I223532165,2
I1290206253,I97018004,2
I1294671590,I18014758,2
I1326498283,I216852786,2
I1326498283,I137902535,2
I4210114115,I889458895,2
I153267046,I195893171,2
I200769079,I4210114115,2
I200166805,I83019370,2
I200166805,I4210122849,2
I39586589,I97429440,2
I102322142,I97429440,2
I102322142,I39586589,2
I102197404,I129604602,2
I136199984,I141945490,2
I3132238960,I99041443,2
I129604602,I1326498283,2
I223532165,I3132238960,2
I3132238960,I36253440,2
I138285227,I141945490,2
I114027177,I1333535994,2
I205783295,I57206974,2
I131249849,I39586589,2
I1343871089,I926574661,2
I1282311441,I1343871089,2
I1283103587,I189712700,2
I3132238960,I91712215,2
I35440088,I4210109712,2
I100066346,I36253440,2
I177909021,I17974374,2
I174306211,I53964585,2
I59553526,I71824836,2
I130769515,I4210158283,2
I4210127226,I859038795,2
I95457486,I97018004,2
I180726961,I889458895,2
I1329325741,I145847075,2
I170201317,I74973139,2
I180726961,I200769079,2
