author_id,openalex_author_id_url,display_name,orcid,source
A5031398497,https://openalex.org/A5031398497,Juan Pablo Bello,https://orcid.org/0000-0001-8561-5204,openalex
A5046755175,https://openalex.org/A5046755175,Bradley Feest,,openalex
A5011218910,https://openalex.org/A5011218910,Michael Middleton,https://orcid.org/0009-0008-0828-6839,openalex
A5039062710,https://openalex.org/A5039062710,Ryan Mckendrick,,openalex
A5003584200,https://openalex.org/A5003584200,Claudio Silva,https://orcid.org/0000-0003-2452-2295,openalex
A5051941811,https://openalex.org/A5051941811,Yilin Ye,https://orcid.org/0000-0001-8874-5928,openalex
A5075939839,https://openalex.org/A5075939839,Shishi Xiao,https://orcid.org/0009-0008-0262-5289,openalex
A5087805627,https://openalex.org/A5087805627,Xingchen Zeng,https://orcid.org/0000-0002-1967-0595,openalex
A5100660205,https://openalex.org/A5100660205,Wei Zeng,https://orcid.org/0000-0002-5600-8824,openalex
A5101626365,https://openalex.org/A5101626365,Jiashu Chen,https://orcid.org/0000-0002-4916-3025,openalex
A5066369450,https://openalex.org/A5066369450,Weikai Yang,https://orcid.org/0000-0002-6520-1642,openalex
A5087785265,https://openalex.org/A5087785265,Zelin Jia,,openalex
A5074461084,https://openalex.org/A5074461084,Lanxi Xiao,https://orcid.org/0009-0001-5385-1453,openalex
A5105978161,https://openalex.org/A5105978161,Shixia Liu,https://orcid.org/0000-0003-4499-6420,openalex
A5080359624,https://openalex.org/A5080359624,Chin Tseng,https://orcid.org/0000-0003-2025-0755,openalex
A5100379697,https://openalex.org/A5100379697,Arran Zeyu Wang,https://orcid.org/0000-0002-7491-7570,openalex
A5032598257,https://openalex.org/A5032598257,Ghulam Jilani Quadri,https://orcid.org/0000-0002-8054-5048,openalex
A5056903170,https://openalex.org/A5056903170,Danielle Albers Szafir,https://orcid.org/0000-0003-3634-8597,openalex
A5088860259,https://openalex.org/A5088860259,Tobias Günther,https://orcid.org/0000-0002-3020-0930,openalex
A5107079571,https://openalex.org/A5107079571,Holger Theise,,openalex
A5019545820,https://openalex.org/A5019545820,Weiran Lyu,,openalex
A5082346052,https://openalex.org/A5082346052,Raghavendra Sridharamurthy,https://orcid.org/0000-0001-8463-0488,openalex
A5017619650,https://openalex.org/A5017619650,Jeff M. Phillips,https://orcid.org/0000-0003-1169-2965,openalex
A5100349956,https://openalex.org/A5100349956,Bei Wang,https://orcid.org/0000-0002-9240-0700,openalex
A5001966756,https://openalex.org/A5001966756,David Borland,https://orcid.org/0000-0002-0162-4080,openalex
A5090060844,https://openalex.org/A5090060844,Tabitha C. Peck,https://orcid.org/0000-0002-3667-7713,openalex
A5100341745,https://openalex.org/A5100341745,Wenyuan Wang,https://orcid.org/0000-0001-8765-6675,openalex
A5077712580,https://openalex.org/A5077712580,David Gotz,https://orcid.org/0000-0002-6424-7374,openalex
A5108322734,https://openalex.org/A5108322734,Hanning Shao,,openalex
A5038943746,https://openalex.org/A5038943746,Xiaoru Yuan,https://orcid.org/0000-0002-7233-980X,openalex
A5107138911,https://openalex.org/A5107138911,Huichen Will Wang,,openalex
A5036469216,https://openalex.org/A5036469216,Jane Hoffswell,https://orcid.org/0000-0002-9871-4575,openalex
A5107124370,https://openalex.org/A5107124370,Sao Myat Thazin Thane,,openalex
A5107124371,https://openalex.org/A5107124371,Victor S. Bursztyn,https://orcid.org/0000-0002-6187-6415,openalex
A5106059833,https://openalex.org/A5106059833,Bridger Herman,https://orcid.org/0000-0002-8862-7523,openalex
A5069553149,https://openalex.org/A5069553149,Cullen D. Jackson,https://orcid.org/0000-0002-5134-9152,openalex
A5058360336,https://openalex.org/A5058360336,Daniel F. Keefe,https://orcid.org/0000-0002-7039-2340,openalex
A5028521537,https://openalex.org/A5028521537,Hongyan Li,https://orcid.org/0009-0001-7948-1411,openalex
A5109139516,https://openalex.org/A5109139516,Bo Yang,https://orcid.org/0009-0000-4217-9174,openalex
A5066851412,https://openalex.org/A5066851412,Yansong Chua,https://orcid.org/0000-0002-3133-843X,openalex
A5071409292,https://openalex.org/A5071409292,Yun Hsin Kuo,https://orcid.org/0009-0000-1891-8993,openalex
A5002440759,https://openalex.org/A5002440759,Jingyi Shen,https://orcid.org/0000-0001-5478-3993,openalex
A5108998800,https://openalex.org/A5108998800,Yuhan Duan,,openalex
A5111688622,https://openalex.org/A5111688622,Han Wei Shen,,openalex
A5086597264,https://openalex.org/A5086597264,Angie Boggust,https://orcid.org/0000-0002-9671-5574,openalex
A5010866431,https://openalex.org/A5010866431,Venkatesh Sivaraman,https://orcid.org/0000-0002-6965-3961,openalex
A5069654367,https://openalex.org/A5069654367,Yannick Assogba,https://orcid.org/0000-0002-6646-0961,openalex
