institution_id,display_name,ror,type,country_code,country_name,world_region,city,region,latitude,longitude,homepage_url,works_count_openalex,cited_by_count_openalex,n_papers_dataset,n_authors_dataset,region_final
I126744593,"University of Maryland, Baltimore",https://ror.org/04rq5mt64,education,US,United States,Americas,Baltimore,,39.29037857055664,-76.61219024658203,https://www.umaryland.edu,120437,14574648,9,10,North America
I126820664,Vassar College,https://ror.org/022x6qg61,education,US,United States,Americas,Town of Poughkeepsie,,41.6698112487793,-73.90702819824219,https://www.vassar.edu,8891,505986,2,2,North America
I126863827,Pace University,https://ror.org/047p7y759,education,US,United States,Americas,New York,,40.71427154541016,-74.00596618652344,https://www.pace.edu,9264,234576,1,1,North America
I127317711,Tokyo University of Agriculture,https://ror.org/05crbcr45,education,JP,Japan,Asia,Tokyo,Tôkyô,35.64089584350586,139.63201904296875,http://www.nodai.ac.jp,18878,742746,1,6,Asia
I127558574,DSM (Netherlands),https://ror.org/00k01kt20,company,NL,Netherlands,Europe,Heerlen,,50.88365173339844,5.981540203094482,http://www.dsm.com/corporate/home.html,7862,683345,1,1,Europe
I1280414376,United States Air Force Research Laboratory,https://ror.org/02e2egq70,facility,US,United States,Americas,Wright-Patterson AFB,,39.81113052368164,-84.05731201171875,https://www.afrl.af.mil,33031,1280339,1,2,North America
I1280536761,Ames Research Center,https://ror.org/02acart68,facility,US,United States,Americas,Mountain View,,37.38605117797851,-122.08384704589844,http://www.nasa.gov/centers/ames/home/index.html,56035,3703762,34,32,North America
I1282105669,Argonne National Laboratory,https://ror.org/05gvnxz63,facility,US,United States,Americas,Lemont,,41.673641204833984,-88.0017318725586,https://www.anl.gov,110116,12922644,17,25,North America
I1282113950,United States Department of Homeland Security,https://ror.org/00jyr0d86,other,US,United States,Americas,Washington,,38.895111083984375,-77.03636932373047,http://www.dhs.gov/,1023,50976,1,1,North America
I1282311441,Lawrence Livermore National Laboratory,https://ror.org/041nk4h53,facility,US,United States,Americas,Livermore,,37.68186950683594,-121.76801300048828,https://www.llnl.gov,82154,9194223,59,63,North America
I1282770075,Tektronix (United States),https://ror.org/04kw5s604,company,US,United States,Americas,Beaverton,Oregon,45.4994010925293,-122.8234405517578,http://www.tek.com/,1200,34751,1,1,North America
I1282927834,Cedars-Sinai Medical Center,https://ror.org/02pammg90,healthcare,US,United States,Americas,Los Angeles,,34.05223083496094,-118.24368286132812,http://cedars-sinai.edu/,49687,6325375,1,1,North America
I1283103587,AT&T (United States),https://ror.org/02bbd5539,company,US,United States,Americas,Bedminster,New Jersey,40.669578552246094,-74.63646697998047,https://www.att.com/,35500,4689766,23,29,North America
I1283220839,Stuttgart Media University,https://ror.org/022r03w28,education,DE,Germany,Europe,Stuttgart,,48.74150085449219,9.101400375366213,https://www.hdm-stuttgart.de/english,1282,10926,2,2,Europe
I1283280774,Brigham and Women's Hospital,https://ror.org/04b6nzv94,healthcare,US,United States,Americas,Boston,,42.358428955078125,-71.05976867675781,http://www.brighamandwomens.org/,200288,40464219,7,22,North America
I1283382300,BMW (Germany),https://ror.org/05vs9tj88,company,DE,Germany,Europe,Munich,,48.137428283691406,11.57548999786377,https://www.bmw.de/de/home.html,3459,127206,2,2,Europe
I1283582996,Novartis (Switzerland),https://ror.org/02f9zrr09,company,CH,Switzerland,Europe,Basel,,47.55839157104492,7.573269844055176,https://www.novartis.com/,33340,5305491,2,1,Europe
I1283595831,Synlab Czech (Czechia),https://ror.org/01hqrb170,company,CZ,Czechia,Europe,Prague,,50.09352111816406,14.452431678771973,http://www.synlab.cz/en/about-synlab-czech,1694,14739,1,2,Europe
I1286329397,United States Geological Survey,https://ror.org/035a68863,other,US,United States,Americas,Reston,,38.968719482421875,-77.34110260009766,http://www.usgs.gov/,100737,8185776,1,2,North America
I1286353243,Autodesk (United States),https://ror.org/00pkt4594,company,US,United States,Americas,San Rafael,California,38.005523681640625,-122.53079223632812,http://www.autodesk.com/,951,32692,6,5,North America
I1286704778,Rutherford Appleton Laboratory,https://ror.org/03gq8fr08,facility,GB,United Kingdom,Europe,Didcot,,51.60927963256836,-1.2421400547027588,http://www.stfc.ac.uk/76.aspx,36061,8001330,2,2,Europe
I1286959531,United Nations,https://ror.org/006kxhp52,other,US,United States,Americas,New York,,40.71427154541016,-74.00596618652344,http://www.un.org/en/index.html,7544,192719,1,1,North America
I1287378978,University of British Columbia Hospital,https://ror.org/00frst980,healthcare,CA,Canada,Americas,Vancouver,British Columbia,49.26411819458008,-123.24612426757812,http://www.vch.ca/Locations-Services/result?res_id=652,3247,236021,1,1,North America
I1287521167,Lockheed Martin (United States),https://ror.org/026er9r08,company,US,United States,Americas,Bethesda,,38.98067092895508,-77.10025787353516,http://www.lockheedmartin.com/,18062,853371,1,1,North America
I1288214837,United States Naval Research Laboratory,https://ror.org/04d23a975,facility,US,United States,Americas,Washington,,38.895111083984375,-77.03636932373047,http://www.nrl.navy.mil/,67712,5120383,13,34,North America
I1288783943,Bureau of Economic Analysis,https://ror.org/03b17a012,government,US,United States,Americas,Washington D.C.,District of Columbia,38.903995513916016,-77.03369140625,https://www.bea.gov/,3902,203918,1,1,North America
