institution_id,macro_category,count,institution_name
I82495205,Volume Rendering & Immersive Tech,1,University of Alabama in Huntsville
I82514191,Volume Rendering & Immersive Tech,1,Honeywell (United States)
I82783531,High-Dimensional Data Analysis,1,Penn State Milton S. Hershey Medical Center
I83019370,Graph Visualization & Text Mining,15,Eindhoven University of Technology
I83019370,High-Dimensional Data Analysis,9,Eindhoven University of Technology
I83019370,Imaging & Display Technology,2,Eindhoven University of Technology
I83019370,Network Security & Anomaltic,1,Eindhoven University of Technology
I83019370,Social & Biomedical Analytics,3,Eindhoven University of Technology
I83019370,Topological Data Analysis,1,Eindhoven University of Technology
I83019370,Visual Programming & ML,11,Eindhoven University of Technology
I83019370,Volume Rendering & Immersive Tech,15,Eindhoven University of Technology
I83436808,Topological Data Analysis,1,Hankuk University of Foreign Studies
I83436808,Volume Rendering & Immersive Tech,2,Hankuk University of Foreign Studies
I83740829,Volume Rendering & Immersive Tech,1,School of Visual Arts
I83816512,Volume Rendering & Immersive Tech,2,University of Genoa
I84218800,Geospatial & Seismic Vis,5,"University of California, Davis"
I84218800,Graph Visualization & Text Mining,10,"University of California, Davis"
I84218800,High-Dimensional Data Analysis,10,"University of California, Davis"
I84218800,Imaging & Display Technology,4,"University of California, Davis"
I84218800,Molecular Simulation,1,"University of California, Davis"
I84218800,Network Security & Anomaltic,3,"University of California, Davis"
I84218800,Perception & Uncertainty Vis,4,"University of California, Davis"
I84218800,Social & Biomedical Analytics,4,"University of California, Davis"
I84218800,Topological Data Analysis,8,"University of California, Davis"
I84218800,Visual Programming & ML,23,"University of California, Davis"
I84218800,Volume Rendering & Immersive Tech,48,"University of California, Davis"
I84392919,Graph Visualization & Text Mining,1,Temple University
I84392919,High-Dimensional Data Analysis,1,Temple University
I84392919,Volume Rendering & Immersive Tech,1,Temple University
I84653119,Graph Visualization & Text Mining,1,Academia Sinica
I848706,Graph Visualization & Text Mining,2,Sungkyunkwan University
I848706,High-Dimensional Data Analysis,2,Sungkyunkwan University
I84884186,Causality & Temporal Analysis,1,Newcastle University
I84884186,Graph Visualization & Text Mining,1,Newcastle University
I84884186,Volume Rendering & Immersive Tech,1,Newcastle University
I85384741,Imaging & Display Technology,1,Heidelberg University
I859038795,Causality & Temporal Analysis,1,Virginia Tech
I859038795,Graph Visualization & Text Mining,13,Virginia Tech
I859038795,High-Dimensional Data Analysis,15,Virginia Tech
I859038795,Imaging & Display Technology,1,Virginia Tech
I859038795,Social & Biomedical Analytics,1,Virginia Tech
I859038795,Visual Programming & ML,5,Virginia Tech
I859038795,Volume Rendering & Immersive Tech,9,Virginia Tech
