institution_id,institution_name,country_code,country_name,world_region,latitude,longitude,city
I146416000,University of Kansas,US,United States,Americas,38.9716682434082,-95.2352523803711,Lawrence
I147554453,University of Bedfordshire,GB,United Kingdom,Europe,51.879669189453125,-0.4174799919128418,Luton
I148283060,Lawrence Berkeley National Laboratory,US,United States,Americas,37.87158966064453,-122.27275085449219,Berkeley
I148366613,National Yang Ming Chiao Tung University,TW,"Taiwan, Province of China",,24.80360984802246,120.96861267089844,Hsinchu
I148751991,Sogang University,KR,"Korea, Republic of",,37.566001892089844,126.97840118408203,Seoul
I149768937,University of Namur,BE,Belgium,Europe,50.46689987182617,4.867459774017334,Namur
I149899117,Max Planck Society,DE,Germany,Europe,48.137428283691406,11.57548999786377,Munich
I149910238,Kent State University,US,United States,Americas,41.14641189575195,-81.34174346923828,Kent
I150209017,Scripps Institution of Oceanography,US,United States,Americas,32.84727096557617,-117.27420043945312,La Jolla
I150229711,University of Electronic Science and Technology of China,CN,China,Asia,30.666669845581055,104.0666732788086,Chengdu
I150468666,Emory University,US,United States,Americas,33.749000549316406,-84.38797760009766,Atlanta
I150569930,Bayer (United States),US,United States,Americas,40.82453918457031,-74.41709899902344,Whippany
I15057530,Université de Bordeaux,FR,France,Europe,44.84043884277344,-0.5805000066757202,Bordeaux
I150653062,Magna International (Germany),DE,Germany,Europe,51.13418197631836,6.626771926879883,Grevenbroich
I150693791,Mount Holyoke College,US,United States,Americas,42.258419036865234,-72.57453155517578,South Hadley
I151201029,Consejo Nacional de Investigaciones Científicas y Técnicas,AR,Argentina,Americas,-34.61315155029297,-58.37723159790039,Buenos Aires
I151727225,Harbin Engineering University,CN,China,Asia,45.75,126.6500015258789,Harbin
I151746483,University of Waterloo,CA,Canada,Americas,43.466800689697266,-80.51638793945312,Waterloo
