author_id,papers,citations,awards,author_name
A5004779356,1,56.0,0,Andrea K. Steiner
A5004784304,1,16.0,0,David Burlinson
A5004787389,1,74.0,0,André Calero Valdez
A5004805989,2,150.0,1,Ken Martin
A5004813317,5,612.0,0,Nam Wook Kim
A5004824085,4,469.0,0,Benjamin B. Bederson
A5004833443,2,85.0,0,Steffen Oeltze‐jafra
A5004845067,3,107.0,0,Tiankai Xie
A5004874377,1,29.0,0,Mie Sato
A5004888894,1,21.0,0,Mala Ananth
A5004916248,1,8.0,0,M. Franaszek
A5004978832,2,291.0,0,Thilo Spinner
A5005016167,1,7.0,0,Christian Stein
A5005017697,14,335.0,1,Kai Lawonn
A5005019090,1,0.0,0,A. J. Fenlon
A5005038762,1,38.0,0,Noura Faraj
A5005055897,1,27.0,0,Yoram Moses
A5005067182,1,95.0,0,Shamal Al-dohuki
A5005090248,1,6.0,0,R.g. Guttmann
A5005095282,2,134.0,0,Anish Chandak
A5005109197,4,143.0,0,Leni Yang
A5005110324,3,151.0,0,U.d. Bordoloi
A5005113581,1,53.0,1,John W. Bodnar
A5005117873,2,131.0,2,Thierry Delmarcelle
A5005159159,1,18.0,0,Nathan Daniel Schiele
A5005163328,1,591.0,0,David Sigeti
A5005188371,1,4.0,0,V. Lum
A5005188509,1,72.0,0,Mark W. Hlawitschka
A5005201143,1,28.0,0,Dongning Luo
A5005221682,1,0.0,0,Sami Khoury
A5005222066,1,19.0,0,Reiner Lenz
A5005223951,1,67.0,0,Ramik Sadana
A5005238300,1,4.0,0,Michael R. Will
A5005262925,1,86.0,0,Bharath Kalidindi
A5005306821,8,2725.0,2,Romain Vuillemot
A5005310068,1,10.0,0,Jameson Miller
A5005311602,2,2.0,0,Nafiul Nipu
A5005316185,1,48.0,0,Christian Teitzel
A5005322254,3,3588.0,2,M. G. Bostock
A5005352052,1,5.0,0,Hana Pokojná
A5005355207,7,340.0,1,Wolfgang Aigner
A5005360401,1,13.0,0,Jackie Assa
A5005364495,7,221.0,0,Tarik Crnovrsanin
A5005384315,1,15.0,0,Lisa Singh
A5005397679,1,9.0,0,Matthias Schlachter
A5005412226,1,6.0,0,Matthew S. Hull
A5005424586,1,2.0,0,W.h. Jimenez
A5005426313,1,4.0,0,Kiran Gadhave
A5005438899,1,12.0,0,George Sugihara
A5005440530,1,7.0,0,I. T. Davies
A5005447951,1,18.0,0,Jamie Proctor
A5005458050,3,79.0,1,Zhihua Jin
A5005494070,2,56.0,0,Cristina R. Ceja
A5005494448,1,34.0,0,R. Clay Reid
A5005510639,1,42.0,0,Erik Anderson
A5005518096,1,11.0,0,W.j. Schroeder
A5005530908,9,234.0,0,Hans Hagen
A5005537804,3,84.0,1,Tobias Klein
A5005564950,1,15.0,0,Christoph Flamm
A5005604730,1,34.0,0,Zhaopeng Meng
A5005619937,1,81.0,0,G. Liebich
A5005633036,1,26.0,0,D. Schmalstieg
A5005641632,1,28.0,0,E. Zhang
A5005647036,2,71.0,0,Zhanglin Cheng
A5005648942,3,108.0,0,I. V. Ramakrishnan
A5005663679,1,8.0,0,My T. Thai
A5005672708,1,37.0,0,Jocelyn H. Ng
A5005677522,1,22.0,0,Yuet Ling Wong
A5005685978,1,49.0,0,Terry Winograd
A5005687069,1,23.0,0,Geoffrey M. Draper
A5005689123,1,34.0,0,David C. Brown
A5005727785,1,3.0,0,R.h.p. Dunn
A5005736802,1,1.0,0,Shaohan Shi
A5005800477,1,25.0,0,William W. Hargrove
A5005829154,1,76.0,0,Mike M. Chow
A5005835706,1,11.0,0,P. Shanbhag
A5005861585,1,34.0,0,H. Ishii
A5005900179,1,5.0,0,Henry A. Sowizral
A5005908452,2,137.0,0,Song Zhang
A5005916572,1,41.0,0,Moritz Bächer
A5005957538,1,0.0,0,J. Mcleod
A5005963720,1,3.0,0,Nikhil Gagvani
A5005968265,1,16.0,0,Brian Tomaszewski
A5005978734,2,45.0,0,Mirjam Sick
A5005981646,1,30.0,0,Martin Göbel
A5005982114,1,3.0,0,Thomas Ortner
A5005986566,2,335.0,1,Paulo Joia
A5005993906,1,30.0,0,David Joseph Wrisley
A5006032614,1,13.0,0,Christoph Russ
A5006058406,1,14.0,0,Johannes Ruisz
A5006074260,1,16.0,0,Gabriela Ferracutti
A5006087928,11,1693.0,4,Dominik Moritz
A5006089989,3,220.0,0,Arnaud Prouzeau
A5006095483,4,80.0,1,Tica Lin
A5006143467,1,10.0,0,Michael Higgins
A5006171300,1,4.0,0,Liwenhan Xie
A5006186940,1,97.0,0,Xiao Jian-nan
A5006194618,1,2.0,0,T. Compton
A5006196334,1,1.0,0,Vahan Huroyan
A5006197413,1,22.0,0,Rynson W. H. Lau
A5006204283,1,0.0,0,Zheng Zhou
A5006225456,5,541.0,2,Christian Stolte
A5006232882,11,543.0,2,Vidya Setlur
A5006248635,1,6.0,0,Jeffrey T. Morisette
A5006254467,1,8.0,0,Brian Wylie
A5006270864,1,44.0,0,Thomas Hildebrandt
A5006326568,1,8.0,0,Riyang Shu
A5006337365,3,41.0,0,Laura South
A5006361808,1,2.0,0,Andreas Gerndt
A5006364168,1,38.0,0,Matthew E. Hawkins
A5006364919,2,58.0,1,Spencer C. Castro
A5006374657,1,107.0,0,Sara Ljungblad
A5006397786,2,52.0,0,Mashael Alkadi
A5006399107,1,10.0,0,E.i. Kelton
A5006411621,1,9.0,0,Miguel Nunes
A5006417854,1,20.0,0,Michael Blumenschein
A5006420943,1,3.0,0,Konduri Aditya
A5006450303,1,41.0,0,Gordon Bancroft
A5006482254,1,42.0,0,Ravi S. Nanjundiah
A5006502390,1,4.0,0,Yunhe Shen
A5006534924,1,7.0,0,Hajar Hamidian
A5006553379,1,97.0,1,W.a.a. Nuij
A5006575291,5,175.0,0,Xumeng Wang
A5006593097,5,245.0,1,Robert Kincaid
A5006604913,1,61.0,0,Helen C. Purchase
