author_id,openalex_author_id_url,display_name,orcid,name_variants,source
A5077645218,https://openalex.org/A5077645218,Ralph Brecheisen,https://orcid.org/0000-0001-9937-2602,"[""Ralph Brecheisen""]",openalex
A5023541811,https://openalex.org/A5023541811,Bram Platel,https://orcid.org/0000-0002-1936-6825,"[""Bram Platel""]",openalex
A5101448737,https://openalex.org/A5101448737,Yi Wang,https://orcid.org/0000-0001-9312-4915,"[""Yi Wang""]",openalex
A5070551319,https://openalex.org/A5070551319,David M. Krum,https://orcid.org/0000-0003-1051-5385,"[""David M. Krum""]",openalex
A5103543715,https://openalex.org/A5103543715,Enylton M. Coelho,,"[""Enylton M. Coelho""]",openalex
A5069853790,https://openalex.org/A5069853790,Doug A. Bowman,https://orcid.org/0000-0003-0491-5067,"[""Doug A. Bowman""]",openalex
A5062317598,https://openalex.org/A5062317598,Vid Petrovic,,"[""Vid Petrovic""]",openalex
A5109129845,https://openalex.org/A5109129845,James Fallon,,"[""James Fallon""]",openalex
A5049231168,https://openalex.org/A5049231168,Falko Kuester,,"[""Falko Kuester""]",openalex
A5064747056,https://openalex.org/A5064747056,Dorit Merhof,https://orcid.org/0000-0002-1672-2185,"[""Dorit Merhof""]",openalex
A5038105931,https://openalex.org/A5038105931,Markus Sonntag,,"[""Markus Sonntag""]",openalex
A5037488031,https://openalex.org/A5037488031,Frank Enders,,"[""Frank Enders""]",openalex
A5090717297,https://openalex.org/A5090717297,Christopher Nimsky,https://orcid.org/0000-0002-8216-9410,"[""Christopher Nimsky""]",openalex
A5111942655,https://openalex.org/A5111942655,Guenther Greiner,,"[""Guenther Greiner""]",openalex
A5011933741,https://openalex.org/A5011933741,Elizabeth Hetzler,,"[""Elizabeth Hetzler""]",openalex
A5068186796,https://openalex.org/A5068186796,Ted E. Tanasse,,"[""Ted E. Tanasse""]",openalex
A5017629509,https://openalex.org/A5017629509,Fan-Yin Tzeng,,"[""Fan-Yin Tzeng""]",openalex
A5081767590,https://openalex.org/A5081767590,Alan D. Kalvin,,"[""Alan D. Kalvin""]",openalex
A5085871644,https://openalex.org/A5085871644,Raimond L. Winslow,https://orcid.org/0000-0003-1719-1651,"[""Raimond L. Winslow""]",openalex
A5072913146,https://openalex.org/A5072913146,D. F. Scollan,,"[""D. F. Scollan""]",openalex
A5013103130,https://openalex.org/A5013103130,Christina K. Yung,https://orcid.org/0000-0003-2958-150X,"[""Christina K. Yung""]",openalex
A5004741568,https://openalex.org/A5004741568,Ying-Huey Fua,,"[""Ying-Huey Fua""]",openalex
A5029956777,https://openalex.org/A5029956777,Wim C. de Leeuw,https://orcid.org/0000-0001-6707-3894,"[""Wim C. de Leeuw""]",openalex
A5036885344,https://openalex.org/A5036885344,L.K. Forssell,,"[""L.K. Forssell""]",openalex
A5076776861,https://openalex.org/A5076776861,Charles W. Grant,,"[""Charles W. Grant""]",openalex
A5100350503,https://openalex.org/A5100350503,Yang Chen,https://orcid.org/0000-0003-4749-3060,"[""Yang Chen""]",openalex
A5069593762,https://openalex.org/A5069593762,Eric A. Bier,https://orcid.org/0009-0004-2265-386X,"[""Eric A. Bier""]",openalex
A5005113581,https://openalex.org/A5005113581,John W. Bodnar,,"[""John W. Bodnar""]",openalex
A5025416155,https://openalex.org/A5025416155,Vikram Aggarwal,,"[""Vikram Aggarwal""]",openalex
A5067631224,https://openalex.org/A5067631224,Mike Sips,https://orcid.org/0000-0003-3941-7092,"[""Mike Sips""]",openalex
A5100355692,https://openalex.org/A5100355692,Yang Liu,https://orcid.org/0000-0001-7300-9215,"[""Yang Liu""]",openalex
A5033639139,https://openalex.org/A5033639139,Tim Althoff,https://orcid.org/0000-0003-4793-2289,"[""Tim Althoff""]",openalex
A5091314206,https://openalex.org/A5091314206,Wenbin He,https://orcid.org/0000-0002-5376-5803,"[""Wenbin He""]",openalex
A5074351233,https://openalex.org/A5074351233,Ko-Chih Wang,https://orcid.org/0000-0002-7241-1939,"[""Ko-Chih Wang""]",openalex
A5103778313,https://openalex.org/A5103778313,Mukund Raj,,"[""Mukund Raj""]",openalex
A5023994860,https://openalex.org/A5023994860,Youssef S. G. Nashed,https://orcid.org/0000-0001-6146-3939,"[""Youssef S. G. Nashed""]",openalex
A5108096533,https://openalex.org/A5108096533,Tom Peterka,,"[""Tom Peterka""]",openalex
A5041275294,https://openalex.org/A5041275294,Mathieu Le Goc,,"[""Mathieu Le Goc""]",openalex
A5039900558,https://openalex.org/A5039900558,Sean Follmer,https://orcid.org/0000-0001-5592-5949,"[""Sean Follmer""]",openalex
A5100400800,https://openalex.org/A5100400800,Ran Chen,https://orcid.org/0000-0002-2770-4070,"[""Ran Chen""]",openalex
A5103783835,https://openalex.org/A5103783835,Feiran Wu,,"[""Feiran Wu""]",openalex
A5090901796,https://openalex.org/A5090901796,Jingmin Chen,https://orcid.org/0000-0001-6336-5427,"[""Jingmin Chen""]",openalex
A5005537804,https://openalex.org/A5005537804,Tobias Klein,https://orcid.org/0000-0001-9455-7587,"[""Tobias Klein""]",openalex
A5080082986,https://openalex.org/A5080082986,Ludovic Autin,https://orcid.org/0000-0002-2197-191X,"[""Ludovic Autin""]",openalex
A5022022242,https://openalex.org/A5022022242,Barbora Kozlíková,https://orcid.org/0000-0003-0045-0872,"[""Barbora Kozlíková""]",openalex
A5082739993,https://openalex.org/A5082739993,Ilir Jusufi,https://orcid.org/0000-0001-6745-4398,"[""Ilir Jusufi""]",openalex
A5013294330,https://openalex.org/A5013294330,Pascal Goffin,https://orcid.org/0000-0002-4354-2462,"[""Pascal Goffin""]",openalex
A5108589516,https://openalex.org/A5108589516,Martin Fink,,"[""Martin Fink""]",openalex
A5055531990,https://openalex.org/A5055531990,André Schulz,https://orcid.org/0000-0002-2134-4852,"[""André Schulz""]",openalex
A5052812610,https://openalex.org/A5052812610,Joachim Spoerhase,https://orcid.org/0000-0002-2601-6452,"[""Joachim Spoerhase""]",openalex
A5014138072,https://openalex.org/A5014138072,Alexander Wolff,https://orcid.org/0000-0001-5872-718X,"[""Alexander Wolff""]",openalex
A5046964482,https://openalex.org/A5046964482,Thomas Löwe,https://orcid.org/0000-0001-8932-018X,"[""Thomas Löwe""]",openalex
A5052995018,https://openalex.org/A5052995018,José Gustavo S. Paiva,https://orcid.org/0000-0003-3228-6974,"[""José Gustavo S. Paiva""]",openalex
A5073099181,https://openalex.org/A5073099181,L. Florian,,"[""L. Florian""]",openalex
A5065725754,https://openalex.org/A5065725754,Hélio Pedrini,https://orcid.org/0000-0003-0125-630X,"[""Hélio Pedrini""]",openalex
