work_id,author_id,author_position,author_display_name,affiliation_raw,institutions_openalex_ids,institutions_names,institutions_country_codes,institutions_ror,from_openalex
10.1109/tvcg.2011.243,A5034699298,4,Bernhard Preim,,"[""I4210138551""]","[""University Hospital Magdeburg""]","[""DE""]","[""https://ror.org/03m04df46""]",True
10.1109/tvcg.2008.143,A5056806073,1,Dominic Schneider,,"[""I926574661""]","[""Leipzig University""]","[""DE""]","[""https://ror.org/03s7gtk40""]",True
10.1109/tvcg.2008.143,A5024349334,2,Alexander Wiebel,,"[""I926574661""]","[""Leipzig University""]","[""DE""]","[""https://ror.org/03s7gtk40""]",True
10.1109/tvcg.2008.143,A5020952435,3,Hamish Carr,,"[""I100930933""]","[""University College Dublin""]","[""IE""]","[""https://ror.org/05m7pjf47""]",True
10.1109/tvcg.2008.143,A5102737743,4,Mario Hlawitschka,,"[""I926574661""]","[""Leipzig University""]","[""DE""]","[""https://ror.org/03s7gtk40""]",True
10.1109/tvcg.2008.143,A5029336209,5,Gerik Scheuermann,,"[""I926574661""]","[""Leipzig University""]","[""DE""]","[""https://ror.org/03s7gtk40""]",True
10.1109/tvcg.2007.70623,A5067811410,1,Haleh Hagh-Shenas,,"[""I2948663404""]","[""Boston Scientific (United States)""]","[""US""]","[""https://ror.org/0385es521""]",True
10.1109/tvcg.2007.70623,A5100654454,2,Sung-Hee Kim,,"[""I36253440""]","[""IEEE Computer Society""]","[""US""]","[""https://ror.org/05nxk6n24""]",True
10.1109/tvcg.2007.70623,A5086764360,3,Victoria Interrante,,"[""I3132238960""]","[""Institute of Electrical and Electronics Engineers""]","[""US""]","[""https://ror.org/01n002310""]",True
10.1109/tvcg.2007.70623,A5013460936,4,Christopher G. Healey,,"[""I3132238960""]","[""Institute of Electrical and Electronics Engineers""]","[""US""]","[""https://ror.org/01n002310""]",True
10.1109/infvis.2004.18,A5080555595,1,Y. Frishman,,"[""I174306211""]","[""Technion – Israel Institute of Technology""]","[""IL""]","[""https://ror.org/03qryx823""]",True
10.1109/infvis.2004.18,A5109259472,2,Ayellet Tal,,"[""I174306211""]","[""Technion – Israel Institute of Technology""]","[""IL""]","[""https://ror.org/03qryx823""]",True
10.1109/visual.2005.1532856,A5063965880,1,Stefan Brückner,,"[""I145847075""]","[""TU Wien""]","[""AT""]","[""https://ror.org/04d836q62""]",True
10.1109/visual.2005.1532856,A5109928029,2,M. Eduard Gröller,,"[""I145847075""]","[""TU Wien""]","[""AT""]","[""https://ror.org/04d836q62""]",True
10.1109/visual.2005.1532833,A5005110324,1,U.D. Bordoloi,,[],[],[],[],True
10.1109/visual.2005.1532833,A5065630217,2,Han‐Wei Shen,,[],[],[],[],True
10.1109/visual.1998.745299,A5070100758,1,Yi‐Jen Chiang,,[],[],[],[],True
10.1109/visual.1998.745299,A5040827349,2,C.T. Silva,,"[""I4210114115""]","[""IBM Research - Thomas J. Watson Research Center""]","[""US""]","[""https://ror.org/0265w5591""]",True
10.1109/visual.1998.745299,A5030139366,3,W. J. Schroeder,,"[""I74786994""]","[""Kitware (United States)""]","[""US""]","[""https://ror.org/02s2acn37""]",True
10.1109/visual.1991.175771,A5030219659,1,Steve Bryson,,"[""I1280536761""]","[""Ames Research Center""]","[""US""]","[""https://ror.org/02acart68""]",True
10.1109/visual.1991.175771,A5013352966,2,Creon Levit,,"[""I1280536761""]","[""Ames Research Center""]","[""US""]","[""https://ror.org/02acart68""]",True
10.1109/vast.2011.6102438,A5088085186,1,Younah Kang,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/vast.2011.6102438,A5082668404,2,John Stasko,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/vast.2009.5333878,A5088085186,1,Younah Kang,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/vast.2009.5333878,A5064020522,2,Carsten Görg,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/vast.2009.5333878,A5082668404,3,John Stasko,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
