author_id_1,author_id_2,weight
A5008914452,A5045105070,3
A5009229122,A5064723143,3
A5009341822,A5065371627,3
A5009460413,A5039910512,3
A5009460413,A5063625747,3
A5009460413,A5069061531,3
A5009460413,A5100349956,3
A5009460413,A5101523517,3
A5009542542,A5019756314,3
A5009542542,A5052151056,3
A5009543696,A5043151044,3
A5009771339,A5085246385,3
A5009957887,A5036469216,3
A5010119044,A5010157704,3
A5010119044,A5065644953,3
A5010238198,A5050126617,3
A5010238198,A5063426870,3
A5010238198,A5084459196,3
A5010444353,A5038943746,3
A5010779666,A5109163772,3
A5010847113,A5069923620,3
A5010928934,A5060626774,3
A5011059989,A5085294981,3
A5011629374,A5018111215,3
A5011928259,A5087146581,3
A5011941798,A5038629539,3
A5012113499,A5023270158,3
A5012113499,A5035443322,3
A5012113499,A5083735800,3
A5012158528,A5034277315,3
A5012388103,A5102959274,3
A5012561411,A5068799512,3
A5012561411,A5079469658,3
A5012561411,A5082796790,3
A5012693590,A5072697451,3
A5012964681,A5029336209,3
A5013101044,A5109234117,3
A5013181392,A5029417016,3
A5013546425,A5031490866,3
A5014635198,A5020415668,3
A5014662947,A5038775008,3
A5014889758,A5056585168,3
A5015271163,A5087146581,3
A5016076717,A5028982390,3
A5016076717,A5102988664,3
A5016139323,A5063230893,3
A5016157345,A5035096541,3
A5016219620,A5032433963,3
A5016219620,A5079986783,3
A5016365293,A5072051036,3
A5018319080,A5030439152,3
A5018322383,A5100358936,3
A5018503965,A5038629539,3
A5018584803,A5034277315,3
A5018584803,A5040961656,3
A5018584803,A5065885664,3
A5018584803,A5112781199,3
A5018764541,A5022022242,3
A5018764541,A5039343836,3
A5018921434,A5081082727,3
A5018921434,A5112795492,3
A5019003563,A5034214530,3
A5019003563,A5048229839,3
A5019308726,A5034214530,3
A5019308726,A5048229839,3
A5019622072,A5029173221,3
A5019622072,A5041191852,3
A5019622072,A5075562509,3
A5019781916,A5087146581,3
A5019902487,A5069061531,3
A5019902487,A5085342992,3
A5019902487,A5101523517,3
A5020153026,A5020702008,3
A5020327777,A5026243783,3
A5020327777,A5068008545,3
A5020327777,A5073986937,3
A5020415668,A5073919282,3
A5020623422,A5021770726,3
A5020623422,A5030084361,3
A5020623422,A5034806125,3
A5020623422,A5049587692,3
A5020623422,A5059655101,3
A5020702008,A5034842879,3
A5021357065,A5091466289,3
A5021363996,A5102023823,3
A5021924764,A5100653962,3
A5021951839,A5091466289,3
A5022022242,A5022294742,3
A5022022242,A5067830242,3
A5022022242,A5109928029,3
A5022294742,A5031138186,3
A5022294742,A5040337866,3
A5022294742,A5083454802,3
A5022294742,A5088614523,3
A5023270158,A5083735800,3
A5023558209,A5048194226,3
A5023711681,A5029613832,3
A5023711681,A5055204153,3
A5023711681,A5110467360,3
A5024059541,A5091466289,3
A5024377336,A5047827833,3
A5024614585,A5071898071,3
A5024698239,A5073986937,3
A5024698239,A5091466289,3
A5024735227,A5055472986,3
A5024735227,A5111944449,3
A5024860629,A5060725233,3
A5024860629,A5079469658,3
A5024860629,A5086036018,3
A5025616122,A5032433963,3
A5026074051,A5078987756,3
A5026243783,A5073986937,3
A5026296265,A5073919282,3
A5026789962,A5043151044,3
A5026789962,A5062546146,3
A5026789962,A5084459196,3
A5026799813,A5114250719,3
A5027014298,A5052151056,3
A5027673731,A5075562509,3
A5028111343,A5039517392,3
A5028120148,A5083989376,3
A5028125399,A5028357447,3
A5028125399,A5112418767,3
A5028237720,A5065630217,3
A5028328053,A5031596501,3
A5028328053,A5100337178,3
A5028357447,A5112418767,3
A5028513822,A5073919282,3
A5028659844,A5074734666,3
A5028906205,A5077191719,3
A5029815396,A5048194226,3
A5029815396,A5063443025,3
A5029815396,A5083735800,3
A5029818256,A5113922818,3
A5030084361,A5049587692,3
A5030084361,A5060725233,3
A5030179454,A5046501868,3
A5030179454,A5050064511,3
A5030179454,A5083523340,3
A5030293383,A5034699298,3
A5030384394,A5043713217,3
A5030384394,A5111539577,3
A5030439152,A5062039514,3
A5031057530,A5066335313,3
A5031057530,A5078536303,3
A5031057530,A5084459196,3
A5031059601,A5088361669,3
A5031082206,A5038775008,3
A5031082206,A5073986937,3
A5031138186,A5109928029,3
A5031309490,A5038629539,3
A5031490866,A5049441601,3
A5031659894,A5070670810,3
A5032280607,A5077148853,3
A5032305401,A5079469658,3
A5032433963,A5108206290,3
A5032473237,A5065371627,3
A5032598257,A5056903170,3
A5032676799,A5041191852,3
A5032694211,A5102759669,3
A5033076979,A5068373092,3
A5033107604,A5086341216,3
A5033746662,A5086311840,3
A5033746662,A5100455066,3
A5033915778,A5051025031,3
A5034277315,A5043405353,3
A5034277315,A5061839283,3
A5034277315,A5083271735,3
A5034699298,A5082209080,3
A5034806125,A5049587692,3
A5034814164,A5071390048,3
A5035096541,A5035201965,3
A5035169954,A5038629539,3
