AuthorAffiliation_clean,canonical_affiliation_en,canonical_method,canonical_match_score
"Axys Pharmaceuticals, USA","Axys Pharmaceuticals, USA",exact,100.0
"BMW Group, Germany","BMW Group, Germany",exact,100.0
"BNRist, Tsinghua University","BNRist, Tsinghua University",exact,100.0
"BNRist, Tsinghua University, China","BNRist, Tsinghua University, China",exact,100.0
BOSCH Research,BOSCH Research,exact,100.0
Bangor University,Bangor University,exact,100.0
Bangor University and University of Basrah,Bangor University and University of Basrah,exact,100.0
"Bangor University, Bangor, U.K","Bangor University, Bangor, U.K.",exact,100.0
"Bangor University, Bangor, United Kingdom","Bangor University, Bangor, United Kingdom",exact,100.0
"Bangor University, UK","Bangor University, UK",exact,100.0
"Bangor University, United Kingdom","Bangor University, United Kingdom",exact,100.0
"Bank of America, USA","Bank of America, USA",exact,100.0
"Bar-Ilan University, Israel","Bar-Ilan University, Israel",exact,100.0
Barcelona Supercomputing Center,Barcelona Supercomputing Center,exact,100.0
"Battelle Center of Mathematical Medicine, Nationwide Children's Hospital, Ohio State Uinversity, USA","Battelle Center of Mathematical Medicine, Nationwide Children's Hospital, Ohio State Uinversity, USA",exact,100.0
"Battelle Center of Mathematical Medicine, Nationwide Children's Hospital, USA","Battelle Center of Mathematical Medicine, Nationwide Children's Hospital, USA",exact,100.0
"Battelle Memorial Institute, Columbus, OH","Battelle Memorial Institute, Columbus, OH",exact,100.0
"Battelle Pacific Northwest Division, Richland, WA","Battelle Pacific Northwest Division, Richland, WA",exact,100.0
"Battelle Pacific Northwest Laboratories, Richland, WA, USA","Battelle Pacific Northwest Laboratories, Richland, WA, USA",exact,100.0
"Bauhaus Universitat Weimar, Germany","Bauhaus Universitat Weimar, Germany",exact,100.0
"Bauhaus University Weimar, Germany","Bauhaus University Weimar, Germany",exact,100.0
Bauhaus-Universität Weimar,Bauhaus-Universität Weimar,exact,100.0
Bayer Technology,Bayer Technology,exact,100.0
"Be Friends Holding Limited, China","Be Friends Holding Limited, China",exact,100.0
"Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL","Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL",exact,100.0
"Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL, USA","Beckman Institute, University of Illinois at Urbana-Champaign, Urbana, IL, USA",exact,100.0
"Beijing Engineering Technology Research Center of Virtual Simulation and Visualization, Peking University","Beijing Engineering Technology Research Center of Virtual Simulation and Visualization, Peking University",exact,100.0
"Beijing Engineering Technology, Peking University and Key Laboratory of Machine Perception (Ministry of Education), Pekina University","Beijing Engineering Technology, Peking University and Key Laboratory of Machine Perception (Ministry of Education), Pekina University",exact,100.0
"Beijing Forestry University, China","Beijing Forestry University, China",exact,100.0
"Beijing Institute of Technology, China","Beijing Institute of Technology, China",exact,100.0
"Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China","Beijing Key Lab of Intelligent Telecommunications Software and Multimedia, Beijing University of Posts and Telecommunications, China",exact,100.0
"Beijing Key Laboratory of Big Data Technology for Food Safety, Beijing Technology and Business University, Beijing, China","Beijing Key Laboratory of Big Data Technology for Food Safety, Beijing Technology and Business University, Beijing, China",exact,100.0
"Beijing Key Laboratory of Human-Computer Interaction, Institute of Software, Chinese Academy of Sciences, China","Beijing Key Laboratory of Human-Computer Interaction, Institute of Software, Chinese Academy of Sciences, China",exact,100.0
Beijing Normal University,Beijing Normal University,exact,100.0
"Beijing Technology, Business University","Beijing Technology, Business University",exact,100.0
"Beijing University of Aeronautics and Astronautics, Beijing, China","Beijing University of Aeronautics and Astronautics, Beijing, China",identity,70.2
"Bell Laboratories, Naperville, IL, USA","Bell Laboratories, Naperville, IL, USA",exact,100.0
"Bell Laboratories, USA","Bell Laboratories, USA",identity,85.7
