year,title,awards,awardsLabels,hasGraphicsReplicabilityStamp
1997,Vortex identification-applications in aerodynamics: a case study,['BCS'],['Best Case Study'],False
1997,The structure of the information visualization design space,['TT'],['Test of Time'],False
1996,The Design and Implementation of an Object-Oriented Toolkit for 3D Graphics and Visualization,['TT'],['Test of Time'],False
1996,Interactive visualization of 3D-vector fields using illuminated stream lines,['BP'],['Best Paper'],False
1996,Visage: a user interface environment for exploring information,['TT'],['Test of Time'],False
1996,Flow visualization for turbomachinery design,['BCS'],['Best Case Study'],False
1995,Visualizing the non-visual: spatial analysis and interaction with information from text documents,['TT'],['Test of Time'],False
1994,An evaluation of reconstruction filters for volume rendering,['TT'],['Test of Time'],False
1994,"The topology of symmetric, second-order tensor fields",['BP'],['Best Paper'],False
1994,Visualizing flow over curvilinear grid surfaces using line integral convolution,['BP'],['Best Paper'],False
1994,Visualization of 3D ultrasonic data,['BCS'],['Best Case Study'],False
1993,Texture splats for 3D scalar and vector field visualization,"['TT', 'BP']","['Test of Time', 'Best Paper']",False
1993,Enhancing reality in the operating room,['BCS'],['Best Case Study'],False
1993,Geometric clipping using Boolean textures,['BP'],['Best Paper'],False
1992,Visualization of second order tensor fields and matrix data,"['TT', 'BP']","['Test of Time', 'Best Paper']",False
1991,The virtual windtunnel: An environment for the exploration of three-dimensional unsteady flows,['BP'],['Best Paper'],False
1990,Surface representations of two- and three-dimensional fluid flow topology,['BP'],['Best Paper'],False
